filepath,type,size_bytes,last_modified,related_saps,status
AGENT_SETUP_GUIDE.md,documentation,55045,2025-10-25T18:38:10.751089,SAP-009,covered
repo-dump.py,code,4674,2025-09-25T20:17:46.609668,SAP-008,covered
CHANGELOG.md,documentation,101878,2025-10-25T18:40:58.566975,SAP-002,covered
README.md,documentation,24202,2025-10-25T18:35:57.671996,SAP-002,covered
SKILLED_AWARENESS_PACKAGE_PROTOCOL.md,documentation,18260,2025-10-27T23:45:27.745008,SAP-000,covered
setup.py,code,14623,2025-10-27T22:49:50.888277,SAP-008,covered
.gitignore,tooling,399,2025-10-21T02:39:41.795080,SAP-003,covered
AGENTS.md,documentation,23518,2025-10-27T23:54:35.715005,SAP-002,covered
CLAUDE_SETUP_GUIDE.md,documentation,34078,2025-10-25T18:31:36.673017,SAP-002,covered
blueprints/CLAUDE.md.blueprint,template,16360,2025-10-25T16:58:31.630781,"SAP-003,SAP-009",covered
blueprints/AGENTS.md.blueprint,template,32471,2025-10-25T16:27:41.356443,"SAP-002,SAP-003,SAP-009",covered
blueprints/pyproject.toml.blueprint,template,2825,2025-10-25T14:19:24.114841,SAP-003,covered
blueprints/server.py.blueprint,template,4006,2025-10-25T14:19:48.750815,SAP-003,covered
blueprints/ROADMAP.md.blueprint,template,5928,2025-10-25T15:56:13.908564,SAP-003,covered
blueprints/.env.example.blueprint,template,243,2025-10-25T13:41:06.732276,SAP-003,covered
blueprints/CHANGELOG.md.blueprint,template,442,2025-10-25T13:40:44.259982,"SAP-002,SAP-003",covered
blueprints/package__init__.py.blueprint,template,125,2025-10-25T14:04:14.232283,SAP-003,covered
blueprints/.gitignore.blueprint,template,3166,2025-10-25T13:41:06.734035,SAP-003,covered
blueprints/README.md.blueprint,template,7777,2025-10-25T15:55:57.859256,"SAP-002,SAP-003",covered
blueprints/mcp__init__.py.blueprint,template,9067,2025-10-25T13:40:50.730487,SAP-003,covered
inbox/IMPLEMENTATION_SUMMARY.md,documentation,12621,2025-10-27T18:46:36.252843,SAP-001,covered
inbox/INBOX_PROTOCOL.md,documentation,34729,2025-10-27T18:29:56.161340,SAP-001,covered
inbox/INTAKE_TRIAGE_GUIDE.md,documentation,22830,2025-10-27T18:45:17.959710,SAP-001,covered
inbox/CLAUDE.md,documentation,18344,2025-10-27T18:31:38.027674,SAP-001,covered
claude/FRAMEWORK_TEMPLATES.md,documentation,20845,2025-10-25T17:41:31.198453,SAP-009,covered
claude/CHECKPOINT_PATTERNS.md,documentation,13266,2025-10-25T17:38:06.637352,SAP-009,covered
claude/CONTEXT_MANAGEMENT.md,documentation,20053,2025-10-27T23:56:01.660594,SAP-009,covered
claude/METRICS_TRACKING.md,documentation,15836,2025-10-25T17:39:39.718534,SAP-009,covered
claude/README.md,documentation,7541,2025-10-25T17:35:21.013844,"SAP-002,SAP-009",covered
.claude/settings.local.json,config,1108,2025-10-25T15:28:02.000071,SAP-009,covered
docs/BENEFITS.md,documentation,24029,2025-10-27T22:37:46.295495,SAP-007,covered
docs/DOCUMENTATION_PLAN.md,documentation,22531,2025-10-27T22:38:14.741505,SAP-007,covered
static-template/DOCKER_BEST_PRACTICES.md,documentation,9798,2025-10-23T00:18:02.241242,SAP-011,covered
static-template/Dockerfile.test,docker,3281,2025-10-23T00:18:02.506770,SAP-011,covered
static-template/justfile,tooling,8760,2025-10-23T00:18:02.238630,SAP-008,covered
static-template/PYPI_SETUP.md,documentation,9723,2025-10-23T00:18:02.514664,SAP-007,covered
static-template/.pre-commit-config.yaml,config,682,2025-10-23T00:18:02.526902,SAP-006,covered
